Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2023-05-18 08:00:00,27302.62,27318.63,27217.01,27220.16,1187.68354,1684389599999.0,32392149.7515301,32132.0,532.47739,14522528.4808183,0.0
2023-05-18 09:00:00,27220.16,27250.0,27152.29,27210.88,1481.05219,1684393199999.0,40291319.886018,43475.0,702.78095,19120004.6864465,0.0
2023-05-18 10:00:00,27210.89,27454.14,27200.0,27391.61,2215.54298,1684396799999.0,60549698.3191146,55635.0,1275.16576,34842757.0730583,0.0
2023-05-18 11:00:00,27391.61,27440.01,27346.45,27388.54,1700.75228,1684400399999.0,46594288.3569975,39336.0,862.52801,23628718.9630382,0.0
2023-05-18 12:00:00,27388.53,27430.0,27354.63,27405.0,1177.10188,1684403999999.0,32237660.9495953,30477.0,574.44618,15733330.9007473,0.0
2023-05-18 13:00:00,27405.0,27423.74,27334.02,27347.86,1060.68169,1684407599999.0,29042393.7645764,27241.0,489.41784,13400671.6371862,0.0
2023-05-18 14:00:00,27347.86,27400.0,27342.62,27398.97,994.18461,1684411199999.0,27210275.2261569,26865.0,486.71654,13320538.8357838,0.0
2023-05-18 15:00:00,27398.97,27472.14,27226.33,27237.02,2455.64136,1684414799999.0,67133035.8491791,59233.0,1169.70197,31985561.6269678,0.0
2023-05-18 16:00:00,27237.02,27283.0,27180.17,27257.21,2118.36446,1684418399999.0,57690079.0512927,45700.0,974.20422,26531667.7039316,0.0
2023-05-18 17:00:00,27257.21,27404.51,27021.95,27244.99,3841.20211,1684421999999.0,104571014.625389,77817.0,1945.24361,52963233.2114166,0.0
2023-05-18 18:00:00,27245.0,27300.0,27045.1,27086.77,2964.70782,1684425599999.0,80513566.6941381,59991.0,1345.208,36539659.6198551,0.0
2023-05-18 19:00:00,27086.78,27118.36,26981.56,27069.56,2607.92394,1684429199999.0,70569932.2466981,44238.0,1200.88016,32498416.1971411,0.0
2023-05-18 20:00:00,27069.55,27090.58,26361.2,26488.99,7917.59124,1684432799999.0,211441314.0742136,125967.0,3508.98566,93704906.2672511,0.0
